,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
27894,esports:match:34507ef1-6971-4ac1-82c9-16430c142e8b,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Arctic Ace,0.0,Vireo Pro,1.0,2022-06-02
27888,esports:match:905cb8a7-2ba2-4ac5-839f-19564e977229,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,X13,0.0,Valors,1.0,2022-06-02
27885,esports:match:e757da70-b63c-4e10-886a-c624ee65b89a,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 16:00:00+00:00,bestOf,1,0,okura,0.0,Zero Tenacity,1.0,2022-06-02
27506,esports:match:b571e4d3-040a-4a51-bbba-598448f97b6d,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 17:00:00+00:00,bestOf,1,0,Fambit,0.0, Entropiq Prague,1.0,2022-06-02
27821,esports:match:6c5913da-67b2-4daa-9ea0-52ad68b61281,esports:tournament:7d010594-2c42-4144-9f35-5a6deef37d60,2022-06-02 16:00:00+00:00,bestOf,3,0,Gravity 0,1.0,For The Win Esports,2.0,2022-06-02
27881,esports:match:1fccc29c-1c43-4539-b092-0790928e227f,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,1shot,0.0,Lowlandlions,1.0,2022-06-02
27880,esports:match:3c3b1144-84a1-4bbe-96aa-2d6a4411c59f,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 16:00:00+00:00,bestOf,1,0,OneTap Gaming,0.0,HONORIS,1.0,2022-06-02
27879,esports:match:d813e1e7-566d-4d28-a820-8c5640b6bf80,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:30:00+00:00,bestOf,1,0,ONET4P,0.0,Snakes DenGG,1.0,2022-06-02
27878,esports:match:8cc85839-2d7a-4013-85c7-0419c238860c,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Red Wolves,0.0,Northern Forces,1.0,2022-06-02
27874,esports:match:3694b7dd-6296-4023-82a3-9c16e2864ee9,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 02:00:00+00:00,bestOf,1,0,Infinity Esports ,0.0,Davenport University,1.0,2022-06-02
27495,esports:match:6495b436-d80c-4c6a-8d20-6968ea69be31,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,Infinite Gaming,0.0,Game Agents,1.0,2022-06-02
27823,esports:match:6b14ef22-8b8b-4416-9ef9-10f32faff999,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,DETONATE,0.0,Vexo Purple,1.0,2022-06-02
27870,esports:match:959b3948-f778-4483-8b8d-a43f67da6b50,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Drunken Masterz,0.0,New Threat,1.0,2022-06-02
27869,esports:match:aa2af4ce-799f-4cd7-8a98-d2f1b5510469,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,NeverFpl5,0.0,forZe Esports,1.0,2022-06-02
27868,esports:match:de35caac-41f8-4a10-9768-837d49e6156e,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 19:00:00+00:00,bestOf,1,0,Fambit,0.0,Masonic,1.0,2022-06-02
27488,esports:match:c6d427a7-c829-4470-a4a5-264ac2057010,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,Apeks Rebels,0.0,00Nation Prospects,1.0,2022-06-02
